# ARP Spoofer Pro Python依赖
# ==========================

# 核心依赖
pyzmq>=24.0.0                 # ZeroMQ Python绑定
cachetools>=5.0.0             # TTL缓存
PyYAML>=6.0                   # YAML配置文件解析
requests>=2.28.0              # HTTP客户端

# Web API
Flask>=2.2.0                  # Web框架
Flask-CORS>=3.0.10            # 跨域支持
gunicorn>=20.1.0              # WSGI服务器

# 网络工具 (仅用于MAC查询等辅助功能)
scapy>=2.4.5                  # 网络包处理
netifaces>=0.11.0             # 网络接口信息

# 数据处理
numpy>=1.21.0                 # 数值计算

# 监控和日志
psutil>=5.9.0                 # 系统监控

# 开发和测试
pytest>=7.0.0                 # 测试框架
black>=22.0.0                 # 代码格式化
flake8>=5.0.0                 # 代码检查
